model,roi,fwd_bias_mean,fwd_bias_sd,rev_bias_mean,rev_bias_sd,flip_Hdata
dorga,overall,-0.2802,0.0896,0.2625,0.0241,1
dorga,RT,-0.197,0.1099,0.2149,0.0282,1
dorga,LT,-0.2856,0.0584,0.4062,0.0432,1
dorga,RB,-0.3788,0.1167,0.2799,0.0104,1
dorga,LB,-0.2595,0.0783,0.149,0.0644,1
bsnet,overall,0.3487,0.1021,-0.1036,0.1217,0
bsnet,RT,0.4912,0.3045,-0.2108,0.0871,0
bsnet,LT,-0.0477,0.0651,-0.0144,0.2568,0
bsnet,RB,0.6025,0.161,-0.11,0.0951,0
bsnet,LB,0.3487,0.0475,-0.0794,0.1754,0
pafe,overall,0.6411,0.0535,-0.0276,0.0376,0
pafe,RT,0.7121,0.0796,-0.0952,0.0274,0
pafe,LT,0.7507,0.1125,0.0102,0.0339,0
pafe,RB,0.4549,0.0357,-0.0162,0.0722,0
pafe,LB,0.6468,0.0679,-0.0093,0.0386,0
