target_C_year,target_C_cutpoint,power,power_C_year,power_C_cutpoint,mean_C_year,mean_C_cutpoint,mean_C_noise,rates_clipped,p24_2up,p24_3down_lower,p24_3up,p24_4down,p26_3up,p26_4down,n_sim,n_boot,patient_sigma
0.05,0.05,0.026,0.168,0.064,0.05311833049373125,0.048879107342828396,0.07537360965944996,0,0.155,0.155,0.255,0.155,0.155,0.155,1000,5000,0.35
0.05,0.1,0.113,0.136,0.493,0.048230902239867084,0.10022463490729772,0.05832211222724193,0,0.05499999999999999,0.155,0.255,0.155,0.155,0.155,1000,5000,0.35
0.05,0.15,0.154,0.156,0.826,0.04903318628053552,0.13058766267201374,0.05419027019511476,1,0.0,0.155,0.255,0.155,0.155,0.155,1000,5000,0.35
0.05,0.2,0.135,0.14,0.829,0.04795312865050594,0.13064154762733216,0.06032728627285298,1,0.0,0.155,0.255,0.155,0.155,0.155,1000,5000,0.35
0.1,0.05,0.062,0.474,0.081,0.09892177278461611,0.047996185638921954,0.11632302044303554,0,0.255,0.155,0.355,0.155,0.155,0.155,1000,5000,0.35
0.1,0.1,0.355,0.508,0.527,0.10111837075299278,0.1004580853043802,0.11072746326152638,0,0.155,0.155,0.355,0.155,0.155,0.155,1000,5000,0.35
0.1,0.15,0.514,0.521,0.935,0.10094889314480505,0.14963503482613413,0.09146036576663934,0,0.05500000000000002,0.155,0.355,0.155,0.155,0.155,1000,5000,0.35
0.1,0.2,0.482,0.483,0.996,0.09854619405718673,0.17970430532492657,0.08221702883752838,1,0.0,0.155,0.355,0.155,0.155,0.155,1000,5000,0.35
0.15,0.05,0.095,0.83,0.101,0.14847204484647497,0.050674932854898325,0.17030399141796904,0,0.355,0.155,0.45499999999999996,0.155,0.155,0.155,1000,5000,0.35
0.15,0.1,0.485,0.841,0.512,0.14930241185336365,0.09953853474080583,0.15636004244755508,0,0.255,0.155,0.45499999999999996,0.155,0.155,0.155,1000,5000,0.35
0.15,0.15,0.806,0.857,0.91,0.15040435309861241,0.14846236429745183,0.1417027135566977,0,0.155,0.155,0.45499999999999996,0.155,0.155,0.155,1000,5000,0.35
0.15,0.2,0.814,0.814,0.998,0.1456565985337435,0.19784185067722962,0.1226847128549569,0,0.054999999999999966,0.155,0.45499999999999996,0.155,0.155,0.155,1000,5000,0.35
0.2,0.05,0.093,0.981,0.093,0.19668522238998884,0.049758112172812355,0.2184968492055446,0,0.45500000000000007,0.155,0.555,0.155,0.155,0.155,1000,5000,0.35
0.2,0.1,0.467,0.974,0.472,0.19755098926085465,0.09838813785339874,0.20761571459456515,0,0.355,0.155,0.555,0.155,0.155,0.155,1000,5000,0.35
0.2,0.15,0.863,0.968,0.879,0.19545285377627108,0.14526294881211754,0.1927088156199834,0,0.255,0.155,0.555,0.155,0.155,0.155,1000,5000,0.35
0.2,0.2,0.973,0.976,0.995,0.19851713633624746,0.1968765084674142,0.17754552058478412,0,0.155,0.155,0.555,0.155,0.155,0.155,1000,5000,0.35
0.25,0.05,0.074,0.998,0.074,0.24492264715994788,0.04810835169412196,0.26440361236075316,0,0.555,0.155,0.655,0.155,0.155,0.155,1000,5000,0.35
0.25,0.1,0.505,0.996,0.505,0.24699276171133933,0.09989593146959318,0.2569655461595557,0,0.45499999999999996,0.155,0.655,0.155,0.155,0.155,1000,5000,0.35
0.25,0.15,0.9,1.0,0.9,0.24728977802975385,0.14657182782388845,0.2486553654583044,0,0.355,0.155,0.655,0.155,0.155,0.155,1000,5000,0.35
0.25,0.2,0.994,0.998,0.996,0.24470281651438539,0.19532230338856085,0.2328757867639978,0,0.255,0.155,0.655,0.155,0.155,0.155,1000,5000,0.35
