patient_frac,n_patients_used,n_images_used,target_C_year,target_C_cutpoint,power,power_C_year,power_C_cutpoint,mean_C_year,mean_C_cutpoint,mean_C_noise,rates_clipped,p24_2up,p24_3down_lower,p24_3up,p24_4down,p26_3up,p26_4down,n_sim,n_boot,patient_sigma
0.4,40,286.1,0.15,0.15,0.51,0.578,0.752,0.14871729369990133,0.14949210460554171,0.15671570059758938,0,0.155,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.4,40,286.0,0.15,0.2,0.608,0.612,0.926,0.1510547187083647,0.19873538547567418,0.139740735795802,0,0.054999999999999966,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.4,40,286.1,0.2,0.15,0.642,0.786,0.734,0.1948724033958382,0.14728447260904942,0.20827001079691052,0,0.255,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.4,40,286.2,0.2,0.2,0.766,0.792,0.928,0.19837504970506023,0.1946685203751926,0.1774645544454024,0,0.155,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.5,50,358.3,0.15,0.15,0.574,0.636,0.812,0.14623696073976383,0.1491562586923766,0.15563105520513723,0,0.155,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.5,50,358.6,0.15,0.2,0.658,0.658,0.974,0.14904664467284226,0.19952433524560556,0.13026914387541808,0,0.054999999999999966,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.5,50,358.8,0.2,0.15,0.73,0.862,0.796,0.1987237886843274,0.14860525095246918,0.22236248912812692,0,0.255,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.5,50,358.5,0.2,0.2,0.86,0.884,0.958,0.19476768808521766,0.19591439018657883,0.18787605870275353,0,0.155,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.6,60,427.0,0.15,0.15,0.674,0.732,0.862,0.14999798135383632,0.14946830899578958,0.15406261313654182,0,0.155,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.6,60,426.7,0.15,0.2,0.72,0.724,0.982,0.14776788295413884,0.19843552584684043,0.13076524013297983,0,0.054999999999999966,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.6,60,427.5,0.2,0.15,0.81,0.926,0.836,0.20069683607447392,0.15019356077156998,0.2086488824111017,0,0.255,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.6,60,427.1,0.2,0.2,0.868,0.87,0.978,0.18851003041823702,0.19247332207829526,0.18956167853462078,0,0.155,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.7,70,499.6,0.15,0.15,0.692,0.758,0.858,0.15029520951731587,0.14681228340493988,0.15764481571345193,0,0.155,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.7,70,499.2,0.15,0.2,0.768,0.768,0.992,0.15075426214177434,0.1999671825267347,0.13531425443023146,0,0.054999999999999966,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.7,70,499.5,0.2,0.15,0.814,0.928,0.856,0.1976271015735029,0.15002196982764232,0.20370258171491112,0,0.255,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.7,70,498.9,0.2,0.2,0.922,0.928,0.982,0.19662138109186195,0.1949543091346821,0.17812558248374036,0,0.155,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.85,85,606.0,0.15,0.15,0.756,0.824,0.89,0.15163308208068388,0.15013063204765978,0.13586029059165483,0,0.155,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.85,85,606.5,0.15,0.2,0.784,0.784,0.996,0.1465432135891482,0.20075292801638916,0.13649716108606325,0,0.054999999999999966,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
0.85,85,606.0,0.2,0.15,0.848,0.962,0.866,0.19842892621672753,0.1440195316772293,0.19586250354101073,0,0.255,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
0.85,85,607.2,0.2,0.2,0.954,0.96,0.988,0.19717712826746564,0.19595501328343176,0.18715152543088623,0,0.155,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
1.0,100,713.0,0.15,0.15,0.772,0.82,0.906,0.14738240975215103,0.14731795333054243,0.14597200784163633,0,0.155,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
1.0,100,713.0,0.15,0.2,0.816,0.816,0.996,0.1471778526268489,0.19829735667711043,0.12531370771256978,0,0.054999999999999966,0.155,0.45499999999999996,0.155,0.155,0.155,500,2000,0.35
1.0,100,713.0,0.2,0.15,0.876,0.978,0.892,0.19638352979021564,0.14838699749248382,0.1960227159385937,0,0.255,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
1.0,100,713.0,0.2,0.2,0.95,0.952,0.998,0.19224055269930135,0.19597209977253868,0.16730973045462086,0,0.155,0.155,0.555,0.155,0.155,0.155,500,2000,0.35
