sample,roi,grade,feature,n_2024,n_2026,mean_2024,mean_2026,smd,auc,ks_p,imbalanced
raw,RB,2,mean,212,145,113.52438629371431,111.48021245830088,0.14514681654468423,0.5347104749512037,0.30232064834666567,0
raw,RB,2,median,212,145,113.14150943396227,110.75862068965517,0.1596780918783734,0.5427456083279115,0.3225019067541864,0
raw,RB,2,entropy,212,145,1.93239843927816,2.0194313485804694,-0.3413611453078449,0.595380611581002,0.0005627332088373957,1
raw,RB,2,uniformity,212,145,0.30438455541884146,0.28330821120455496,0.3620824098707686,0.5948601171112557,0.002442103865357453,1
raw,RB,2,glrlm_SRE,212,145,0.20117418696743603,0.17522967033386877,0.7690473989956372,0.7029277813923227,1.4148726720401266e-14,1
raw,RB,2,glszm_SAE,212,145,0.267879587178673,0.2165300145065885,1.0120415584274682,0.7682823682498373,7.5813281937878105e-16,1
raw,RB,3,mean,135,122,130.1258541309712,123.0945105243439,0.4067159654203978,0.6080752884031573,0.0007418503132759767,1
raw,RB,3,median,135,122,131.04444444444445,123.24590163934427,0.43513409619244264,0.6150880388585307,0.00029236361746952003,1
raw,RB,3,entropy,135,122,1.8048802053602717,1.9404994123042352,-0.4785014767786719,0.650333940497875,0.00017666355197229445,1
raw,RB,3,uniformity,135,122,0.3342044685995623,0.3000205705214741,0.48381285262424994,0.6529447480267152,5.317391309414931e-05,1
raw,RB,3,glrlm_SRE,135,122,0.1934746366670692,0.16139861336531372,1.100834145977508,0.7925318761384335,1.6678060487447658e-14,1
raw,RB,3,glszm_SAE,135,122,0.2727232054087752,0.2253212993387155,0.8060579086188746,0.7256223436551306,6.472624897724184e-09,1
raw,RB,4,mean,68,55,131.52405913037956,142.30737909784457,-0.5655582146914987,0.6494652406417112,0.012750817526140957,1
raw,RB,4,median,68,55,131.58823529411765,143.64545454545456,-0.6078003062561167,0.6656417112299465,0.008463796343363394,1
raw,RB,4,entropy,68,55,1.7082975689524953,1.7734836081957117,-0.1836520245887452,0.5566844919786096,0.2089619154913992,0
raw,RB,4,uniformity,68,55,0.36663132897305345,0.33936835150215583,0.2783005200724387,0.570855614973262,0.09697246772125447,1
raw,RB,4,glrlm_SRE,68,55,0.2031371262805334,0.1584140990220617,1.4055631030718425,0.8481283422459893,3.708214140023509e-11,1
raw,RB,4,glszm_SAE,68,55,0.29546554858603563,0.2541578230920709,0.5404717306924651,0.6994652406417112,0.0001648802357367725,1
matched,RB,2,mean,78,78,110.42875254848889,110.70613017795411,-0.0239686454806593,0.5062458908612755,0.9975021578260744,0
matched,RB,2,median,78,78,110.1923076923077,109.7051282051282,0.03910308628413351,0.5221071663379355,0.8099828657091238,0
matched,RB,2,entropy,78,78,1.9671905486297891,1.985435371162572,-0.09059827264561325,0.5307363576594346,0.9146976761817383,0
matched,RB,2,uniformity,78,78,0.29459819828506023,0.2904462968165451,0.08927924896118976,0.532215647600263,0.8099828657091238,0
matched,RB,2,glrlm_SRE,78,78,0.20033702779022178,0.19513583920686448,0.1801937713192676,0.5583497698882314,0.1624324239257221,0
matched,RB,2,glszm_SAE,78,78,0.24677641970956998,0.24011594216708482,0.16522577203750782,0.5507889546351085,0.6801596116769174,0
matched,RB,3,mean,47,47,124.99954340136178,123.86249095179794,0.08014933648405057,0.5278406518786781,0.8439108308235674,0
matched,RB,3,median,47,47,125.61702127659575,123.76595744680851,0.12414554859843202,0.5380262562245359,0.9964306313659149,0
matched,RB,3,entropy,47,47,1.8699558191545758,1.8963884308905725,-0.11883258800397278,0.5391579900407424,0.5083350291194705,0
matched,RB,3,uniformity,47,47,0.31388935604843726,0.30796823783975336,0.11324132458839328,0.5441376188320507,0.3578951212975654,0
matched,RB,3,glrlm_SRE,47,47,0.18290851139823883,0.17654385853378296,0.2745043980302772,0.574468085106383,0.5083350291194705,1
matched,RB,3,glszm_SAE,47,47,0.24819700971575434,0.24867810208970728,-0.009189349413368093,0.5011317338162065,0.9564253934299758,0
matched,RB,4,mean,12,12,132.36911835924235,134.7032144076489,-0.13284253577672067,0.5694444444444444,0.5360977695073805,0
matched,RB,4,median,12,12,132.33333333333334,135.08333333333334,-0.1449232405903887,0.5868055555555556,0.5360977695073805,0
matched,RB,4,entropy,12,12,1.8556907634794777,1.8442593279536987,0.03929494830589869,0.5138888888888888,0.8689816711757754,0
matched,RB,4,uniformity,12,12,0.321317859683867,0.31912588248606905,0.03375440758700666,0.5555555555555556,0.8689816711757754,0
matched,RB,4,glrlm_SRE,12,12,0.18386031782946513,0.1779124150652789,0.22290217710676946,0.5972222222222222,0.5360977695073805,1
matched,RB,4,glszm_SAE,12,12,0.26040715886429117,0.24679176048378218,0.2428504105516226,0.5902777777777778,0.8689816711757754,1
