year,ROI,old_grade,images,patients
2024,LB,0,55,13
2024,LB,1,201,44
2024,LB,2,205,52
2024,LB,3,146,43
2024,LB,4,111,25
2024,LT,0,187,32
2024,LT,1,275,48
2024,LT,2,139,38
2024,LT,3,77,26
2024,LT,4,40,12
2024,RB,0,40,15
2024,RB,1,263,50
2024,RB,2,212,54
2024,RB,3,135,42
2024,RB,4,68,19
2024,RT,0,193,36
2024,RT,1,306,56
2024,RT,2,101,34
2024,RT,3,70,22
2024,RT,4,48,10
2026,LB,0,84,24
2026,LB,1,181,32
2026,LB,2,126,34
2026,LB,3,124,32
2026,LB,4,72,17
2026,LT,0,183,30
2026,LT,1,265,42
2026,LT,2,77,25
2026,LT,3,40,14
2026,LT,4,22,7
2026,RB,0,87,23
2026,RB,1,178,35
2026,RB,2,145,33
2026,RB,3,122,33
2026,RB,4,55,16
2026,RT,0,201,31
2026,RT,1,268,39
2026,RT,2,60,26
2026,RT,3,43,9
2026,RT,4,15,5
